Time stamp,Paris Day text,Paris Day Type,Paris third,Instagram user,Instgram photo
"July 23, 2015 at 01:05PM",Thursday,Weekday,12am - 8am,gel_1437,hi
"July 23, 2015 at 10:23AM",Thursday,Weekday,12am - 8am,janisblackcat,hi
"July 22, 2015 at 11:16PM",Wednesday,Weekday,8am - 4pm,adivasafi,hi
"July 22, 2015 at 11:43PM",Wednesday,Weekday,8am - 4pm,lautaytay,hi
"July 23, 2015 at 10:49AM",Thursday,Weekday,12am - 8am,outlaw_canadiann,hi
"July 24, 2015 at 03:24PM",Friday,Weekday,12am - 8am,carodebreze,hi
"July 23, 2015 at 02:30AM",Wednesday,Weekday,4pm - 12am,itsecyz5,hi
"July 22, 2015 at 04:54PM",Wednesday,Weekday,12am - 8am,dudelum,hi
"July 24, 2015 at 11:50AM",Friday,Weekday,12am - 8am,lauriebck,hi
"July 24, 2015 at 03:12PM",Friday,Weekday,12am - 8am,callierosen97,hi
"July 22, 2015 at 10:08PM",Wednesday,Weekday,8am - 4pm,guipiagentini,hi
"July 23, 2015 at 03:13AM",Wednesday,Weekday,4pm - 12am,jen_hugenot,hi
"July 23, 2015 at 03:31AM",Wednesday,Weekday,4pm - 12am,ecuoo,hi
"July 23, 2015 at 05:23PM",Thursday,Weekday,12am - 8am,lafonte,hi
"July 23, 2015 at 03:28AM",Wednesday,Weekday,4pm - 12am,rsledo,hi
"July 23, 2015 at 11:55AM",Thursday,Weekday,12am - 8am,gael0064,hi
"July 22, 2015 at 09:13PM",Wednesday,Weekday,8am - 4pm,austinlam,hi
"July 23, 2015 at 05:40AM",Wednesday,Weekday,4pm - 12am,joaquim0805,hi
"July 24, 2015 at 01:51PM",Friday,Weekday,12am - 8am,kbeteta,hi
"July 23, 2015 at 08:38AM",Wednesday,Weekday,4pm - 12am,vogueoverdose,hi
"July 23, 2015 at 08:45AM",Wednesday,Weekday,4pm - 12am,jessbelts,hi
"July 24, 2015 at 08:57AM",Thursday,Weekday,4pm - 12am,m1chaelnph4m,hi
"July 23, 2015 at 12:49PM",Thursday,Weekday,12am - 8am,monicaviani,hi
"July 22, 2015 at 11:59PM",Wednesday,Weekday,8am - 4pm,nilsonshoes,hi
"July 24, 2015 at 11:33AM",Friday,Weekday,12am - 8am,defollin,hi
"July 22, 2015 at 10:15AM",Wednesday,Weekday,12am - 8am,jia_xin_25,hi
"July 22, 2015 at 07:31PM",Wednesday,Weekday,8am - 4pm,reicheru88,hi
"July 24, 2015 at 12:37AM",Thursday,Weekday,8am - 4pm,cakys,hi
"July 24, 2015 at 03:19AM",Thursday,Weekday,4pm - 12am,leaisgaga,hi
"July 24, 2015 at 12:37AM",Thursday,Weekday,8am - 4pm,bearsonfire,hi
"July 22, 2015 at 05:04PM",Wednesday,Weekday,12am - 8am,leelola,hi
"July 23, 2015 at 01:46PM",Thursday,Weekday,12am - 8am,samanthasalvemini,hi
"July 22, 2015 at 05:25PM",Wednesday,Weekday,12am - 8am,adamroot,hi
"July 22, 2015 at 01:53PM",Wednesday,Weekday,12am - 8am,stevenvictor,hi
"July 23, 2015 at 11:34PM",Thursday,Weekday,8am - 4pm,donfahada,hi
"July 23, 2015 at 10:40AM",Thursday,Weekday,12am - 8am,fridajohansson.eu,hi
"July 23, 2015 at 09:13AM",Wednesday,Weekday,4pm - 12am,eugeniamerlinhestol,hi
"July 23, 2015 at 12:16AM",Wednesday,Weekday,8am - 4pm,wilsonmemo,hi
"July 23, 2015 at 08:33AM",Wednesday,Weekday,4pm - 12am,mhdl22,hi
"July 24, 2015 at 09:48AM",Thursday,Weekday,4pm - 12am,kamilafelipetto,hi
"July 24, 2015 at 05:32AM",Thursday,Weekday,4pm - 12am,jjude54,hi
"July 23, 2015 at 03:12AM",Wednesday,Weekday,4pm - 12am,zaiige,hi
"July 22, 2015 at 03:09PM",Wednesday,Weekday,12am - 8am,trocaderogirl,hi
